rank,domain
330,uni-wuerzburg.de
331,aok.de
332,bundesgesundheitsministerium.de
333,dw.de
334,avm.de
335,gamepro.de
336,home24.de
337,bremen.de
338,geo.de
339,deraktionaer.de
340,hoerzu.de
341,skyscanner.de
342,otz.de
343,aerzteblatt.de
344,manager-magazin.de
345,qvc.de
346,uni-regensburg.de
347,allgaeuer-zeitung.de
348,flashscore.de
349,einfachbacken.de
350,ernstings-family.de
351,pokewiki.de
352,bmbf.de
353,kicktipp.de
354,www.waz.de
355,sky.de
356,computerbild.de
357,juraforum.de
358,ih.adscale.de
359,bundesfinanzministerium.de
360,hse.de
361,jysk.de
362,www.heise.de
363,ligainsider.de
364,emmikochteinfach.de
365,www.brigitte.de
366,www.sueddeutsche.de
367,www.zdf.de
368,nativendo.de
369,ptb.de
370,eventbrite.de
371,prosieben.de
372,ticketmaster.de
373,www.morgenpost.de
374,uni-jena.de
375,www.mydealz.de
376,uni-saarland.de
377,www.mediamarkt.de
378,uni-augsburg.de
379,www1.wdr.de
380,www.elster.de
381,www.stepstone.de
382,www.vodafone.de
383,dw-world.de
384,www.mdr.de
385,moin.de
386,deutsche-digitale-bibliothek.de
387,www.telekom.de
388,www.skyscanner.de
389,deutschepost.de
390,www.wa.de
391,www.eurosport.de
392,www.holidaycheck.de
393,rnd.de
394,www.lieferando.de
395,www.adac.de
396,kunde.comdirect.de
397,www.kaufland.de
398,www.rtl.de
399,web.arbeitsagentur.de
400,www.moviepilot.de
401,www.rewe.de
402,www.vinted.de
403,www.dm.de
404,www.tz.de
405,www.tchibo.de
406,www.hessenschau.de
407,www.flashscore.de
408,www.getyourguide.de
409,www.wetter.de
410,www.wallstreet-online.de
411,www.swp.de
412,www.presseportal.de
413,www.kicktipp.de
414,www.hoerzu.de
415,www.stuttgarter-zeitung.de
416,sellercentral.amazon.de
417,www.xxxlutz.de
418,www.bunte.de
419,www.bike-discount.de
420,www.goethe.de
421,www.einfachbacken.de
422,www.pcgameshardware.de
423,www.wg-gesucht.de
424,www.augsburger-allgemeine.de
425,www.noz.de
426,www.netzwelt.de
427,www.tag24.de
428,www.mopo.de
429,www.express.de
430,www.deraktionaer.de
431,www.autobild.de
432,www.kino.de
433,my.dpd.de
434,www.bz-berlin.de
435,www.shz.de
436,www.auto-motor-und-sport.de
437,www.ksta.de
438,www.home24.de
439,www.ligainsider.de
440,www.instyle.de
441,www.gamepro.de
442,www.parfumo.de
443,www.kreiszeitung.de
444,www.poppen.de
445,start.schulportal.hessen.de
446,www.mainpost.de
447,www.autozeitung.de
448,douglas.de
449,www.ernstings-family.de
450,www.hse.de
451,www.pokewiki.de
452,www.qvc.de
453,www.familie.de
454,www.desired.de
455,www.allgaeuer-zeitung.de
456,www.quoka.de
457,toralarm.bild.de
458,www.otz.de
459,www.thueringer-allgemeine.de
460,erotik.quoka.de
461,www.moin.de
462,tu-chemnitz.de
463,ozerov.de
464,bmwi.de
465,nabu.de
466,api.assertcom.de
467,vgwort.de
468,schlund.de
469,badische-zeitung.de
470,uni-due.de
471,bmwk.de
472,rbb24.de
473,sma.de
474,vogue.de
475,uni-mannheim.de
476,doctolib.de
477,o2online.de
478,uni-konstanz.de
479,charite.de
480,ioam.de
481,ebay-kleinanzeigen.de
482,deutschland.de
483,verbraucherzentrale.de
484,thelocal.de
485,ui-portal.de
486,uni-halle.de
487,telefonica.de
488,uni-potsdam.de
489,kas.de
490,nanocosmos.de
491,denic.de
492,computerbase.de
493,nordbayern.de
494,pcwelt.de
495,apotheken-umschau.de
496,finanznachrichten.de
497,audible.de
498,allianz.de
499,goneo.de
500,datev.de
501,agma-analytics.de
502,tu-dortmund.de
503,haufe.de
504,stuttgarter-nachrichten.de
505,uni-bayreuth.de
506,mypurecloud.de
507,conrad.de
508,uni-giessen.de
509,tk.de
510,autodoc.de
511,winfuture.de
512,bundesbank.de
513,visitberlin.de
514,gwdg.de
515,bmw.de
516,audi.de
517,dfb.de
518,reservix.de
519,brandenburg.de
520,vodafone-ip.de
521,3sat.de
522,ffe390afd658c19dcbf707e0597b846d.de
523,aboutyou.de
524,bundesnetzagentur.de
525,beck.de
526,page-stats.de
527,deutsche-rentenversicherung.de
528,openstreetmap.de
529,webwiki.de
530,gdatasecurity.de
531,komoot.de
532,bundesumweltministerium.de
533,blocklist.de
534,easybell.de
535,t-ipconnect.de
536,edeka.de
537,verivox.de
538,meinestadt.de
539,online.de
540,redbutton.de
541,ctreserve.de
542,bmas.de
543,louis.de
544,nuernberg.de
545,buecher.de
546,your-storagebox.de
547,ddnss.de
548,rzone.de
549,boell.de
550,bike-components.de
551,uni-paderborn.de
552,airbnb.de
553,berlios.de
554,commerzbank.de
555,uni-kassel.de
556,juris.de
557,wwf.de
558,capital.de
559,hosteurope.de
560,abendzeitung-muenchen.de
561,g-ha-1und1.de
562,history.de
563,suedkurier.de
564,fc-moto.de
565,rbb-online.de
566,galeria.de
567,mtb-news.de
568,sunny-portal.de
569,saturn.de
570,transfermarkt.de
571,trustedshops.de
572,derstandard.de
573,etracker.de
574,naderman.de
575,deutsche-bank.de
576,bafin.de
577,sachsen-anhalt.de
578,ga.de
579,europapark.de
580,bmfsfj.de
581,testberichte.de
582,barmer.de
583,haz.de
584,glamour.de
585,jpc.de
586,weser-kurier.de
587,aldi-sued.de
588,oekotest.de
589,bvb.de
590,motor-talk.de
591,lto.de
592,uni-rostock.de
593,openpetition.de
594,globetrotter.de
595,bundeswehr.de
596,parfumdreams.de
597,baur.de
598,uni-oldenburg.de
599,saechsische.de
600,dfg.de
601,vogel.de
602,lexware.de
603,jameda.de
604,com.de
605,hhu.de
606,nwzonline.de
607,schleswig-holstein.de
608,beepworld.de
609,infranken.de
610,bvg.de
611,uni-osnabrueck.de
612,alternate.de
613,bmuv.de
614,freiepresse.de
615,notebooksbilliger.de
616,pnp.de
617,uni-wuppertal.de
618,fnp.de
619,bafa.de
620,dsgvo-gesetz.de
621,sparkasse.de
622,berlinale.de
623,1blu.de
624,ullapopken.de
625,swr3.de
626,sr.de
627,nw.de
628,netto-online.de
629,finanztip.de
630,rossmann.de
631,netdoktor.de
632,musicstore.de
633,mercedes-benz.de
634,watson.de
635,datawrapper.de
636,lvz.de
637,expedia.de
638,idw-online.de
639,hugendubel.de
640,adidas.de
641,domainmarkt.de
642,postbank.de
643,abload.de
644,mueller.de
645,mittelbayerische.de
646,lycos.de
647,dpma.de
648,aldi-nord.de
649,rapidshare.de
650,fz-juelich.de
651,snafu.de
652,pcgames.de
653,it-recht-kanzlei.de
654,onvista.de
655,stadt-bremerhaven.de
656,rub.de
657,ing.de
658,dradio.de
659,jugendherberge.de
660,onlinemobilecasinos.de
661,emp.de
662,saarbruecker-zeitung.de
663,uni-karlsruhe.de
664,elle.de
665,tipico.de
666,immonet.de
667,uni-duesseldorf.de
668,bmel.de
669,aachener-zeitung.de
670,rheinpfalz.de
671,dguv.de
672,boerse-frankfurt.de
673,checkdomain.de
674,schwarzwaelder-bote.de
675,anwalt.de
676,gettyimages.de
677,wn.de
678,bertelsmann-stiftung.de
679,facebook.de
680,greenpeace.de
681,thieme-connect.de
682,thueringen.de
683,haendlerbund.de
684,perlentaucher.de
685,bundesverfassungsgericht.de
686,zum.de
687,bergfreunde.de
688,uni-siegen.de
689,bmjv.de
690,pwc.de
691,springerprofessional.de
692,ruhrnachrichten.de
693,dhm.de
694,rhein-zeitung.de
695,ahk.de
696,rosebikes.de
697,katholisch.de
698,lima-city.de
699,teltarif.de
700,penguin.de
701,tvnow.de
702,hannovermesse.de
703,db.de
704,stimme.de
705,gq-magazin.de
706,sportspar.de
707,zoll.de
708,dnb.de
709,funpic.de
710,congstar.de
711,galaxus.de
712,gelbeseiten.de
713,flaconi.de
714,desy.de
715,stadt-koeln.de
716,wunderweib.de
717,birkenwald.de
718,uni-greifswald.de
719,docmorris.de
720,fewo-direkt.de
721,maz-online.de
722,ardaudiothek.de
723,webgo.de
724,netcologne.de
725,mindfactory.de
726,gratis-casino-spiele.de
727,bnn.de
728,bundesgerichtshof.de
729,expert.de
730,kaufda.de
731,volksstimme.de
732,saarland.de
733,concepto.de
734,trivago.de
735,philips.de
736,rnz.de
737,benelph.de
738,din.de
739,bmz.de
740,wetterzentrale.de
741,berliner-kurier.de
742,peek-cloppenburg.de
743,bestecasinoliste.de
744,bamf.de
745,moz.de
746,volksfreund.de
747,eis.de
748,fitforfun.de
749,bmu.de
750,donaukurier.de
751,dasoertliche.de
752,freenet-mobilfunk.de
753,kn-online.de
754,nebenan.de
755,messe-stuttgart.de
756,helios-gesundheit.de
757,reisereporter.de
758,bfarm.de
759,motorradonline.de
760,rtpslots.de
761,newyorker.de
762,fahrrad-xxl.de
763,dastelefonbuch.de
764,thieme.de
765,ostsee-zeitung.de
766,adminforge.de
767,myhermes.de
768,boerse.de
769,hetzner.de
770,westfalen-blatt.de
771,reichelt.de
772,lotto24.de
773,awi.de
774,sixt.de
775,tu-bs.de
776,zdnet.de
777,uni-hohenheim.de
778,limango.de
779,booklooker.de
780,bueromarkt-ag.de
781,cyberport.de
782,verbraucher-schlichter.de
783,traum-ferienwohnungen.de
784,duesseldorf.de
785,hood.de
786,bka.de
787,axelspringer.de
788,tu-braunschweig.de
789,tchncs.de
790,lecker.de
791,zooplus.de
792,mz.de
793,telepolis.de
794,fotocommunity.de
795,spreadshirt.de
796,firsturl.de
797,blau.de
798,drk.de
799,munich-airport.de
800,pik-potsdam.de
801,dfn.de
802,planet-wissen.de
803,frankfurt.de
804,cornelsen.de
805,bfv.de
806,esquire.de
807,werder.de
